ID: 133, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 134, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 135, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 136, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 137, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 138, Chegada dos dados: 14:13:43, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 139, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 140, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 141, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 142, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 143, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 144, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 145, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 146, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 147, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 148, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 149, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 150, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 151, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 152, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 153, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
ID: 154, Chegada dos dados: 14:13:44, Dados brutos EEG: [898.937744, 669.670349, 1523.882812, 1.611722]
